threshold,precision,link_recall,nolink_recall,balanced_recall,f1,accuracy
0.2,1.0,0.7335,1.0,0.8668,0.8463,0.7683
0.25,1.0,0.708,1.0,0.854,0.829,0.7461
0.3,1.0,0.6885,1.0,0.8442,0.8155,0.7291
0.35,1.0,0.667,1.0,0.8335,0.8002,0.7104
0.4,1.0,0.6465,1.0,0.8232,0.7853,0.6926
0.45,1.0,0.6325,1.0,0.8162,0.7749,0.6804
0.5,1.0,0.6205,1.0,0.8102,0.7658,0.67
0.55,1.0,0.6035,1.0,0.8018,0.7527,0.6552
0.6,1.0,0.5945,1.0,0.7972,0.7457,0.6474
0.65,1.0,0.58,1.0,0.79,0.7342,0.6348
0.7,1.0,0.5615,1.0,0.7808,0.7192,0.6187
