threshold,precision,link_recall,nolink_recall,balanced_recall,f1,accuracy,tp,fp,tn,fn
0.01,0.9704,0.886,0.82,0.853,0.9263,0.8774,1772,54,246,228
0.02,0.9739,0.858,0.8467,0.8523,0.9123,0.8565,1716,46,254,284
0.03,0.9796,0.8415,0.8833,0.8624,0.9053,0.847,1683,35,265,317
0.04,0.9864,0.8335,0.9233,0.8784,0.9035,0.8452,1667,23,277,333
0.05,0.9892,0.822,0.94,0.881,0.8979,0.8374,1644,18,282,356
0.06,0.9909,0.815,0.95,0.8825,0.8944,0.8326,1630,15,285,370
0.07,0.9926,0.8065,0.96,0.8832,0.8899,0.8265,1613,12,288,387
0.08,0.9938,0.798,0.9667,0.8823,0.8852,0.82,1596,10,290,404
0.09,0.9937,0.7905,0.9667,0.8786,0.8805,0.8135,1581,10,290,419
0.1,0.9949,0.7845,0.9733,0.8789,0.8773,0.8091,1569,8,292,431
0.15,0.998,0.753,0.99,0.8715,0.8584,0.7839,1506,3,297,494
0.2,1.0,0.7255,1.0,0.8628,0.8409,0.7613,1451,0,300,549
0.25,1.0,0.7045,1.0,0.8522,0.8266,0.743,1409,0,300,591
0.3,1.0,0.684,1.0,0.842,0.8124,0.7252,1368,0,300,632
0.35,1.0,0.666,1.0,0.833,0.7995,0.7096,1332,0,300,668
0.4,1.0,0.6505,1.0,0.8252,0.7882,0.6961,1301,0,300,699
0.45,1.0,0.637,1.0,0.8185,0.7783,0.6843,1274,0,300,726
0.5,1.0,0.618,1.0,0.809,0.7639,0.6678,1236,0,300,764
0.5,1.0,0.618,1.0,0.809,0.7639,0.6678,1236,0,300,764
0.55,1.0,0.6045,1.0,0.8022,0.7535,0.6561,1209,0,300,791
