threshold,precision,link_recall,nolink_recall,balanced_recall,f1,accuracy,tp,fp,tn,fn
0.01,0.7704,0.998,0.0083,0.5032,0.8695,0.7696,1996,595,5,4
0.02,0.8397,0.998,0.365,0.6815,0.912,0.8519,1996,381,219,4
0.03,0.8448,0.996,0.39,0.693,0.9142,0.8562,1992,366,234,8
0.04,0.8451,0.996,0.3917,0.6938,0.9144,0.8565,1992,365,235,8
0.05,0.8477,0.996,0.4033,0.6997,0.9159,0.8592,1992,358,242,8
0.06,0.8545,0.9955,0.435,0.7153,0.9196,0.8662,1991,339,261,9
0.07,0.8736,0.9955,0.52,0.7578,0.9306,0.8858,1991,288,312,9
0.08,0.8907,0.994,0.5933,0.7937,0.9395,0.9015,1988,244,356,12
0.09,0.8981,0.992,0.625,0.8085,0.9427,0.9073,1984,225,375,16
0.1,0.9026,0.9915,0.6433,0.8174,0.945,0.9112,1983,214,386,17
0.15,0.905,0.986,0.655,0.8205,0.9438,0.9096,1972,207,393,28
0.2,0.9073,0.9835,0.665,0.8242,0.9439,0.91,1967,201,399,33
0.25,0.9176,0.9805,0.7067,0.8436,0.948,0.9173,1961,176,424,39
0.3,0.935,0.9785,0.7733,0.8759,0.9563,0.9312,1957,136,464,43
0.35,0.9517,0.975,0.835,0.905,0.9632,0.9427,1950,99,501,50
0.4,0.9581,0.971,0.8583,0.9147,0.9645,0.945,1942,85,515,58
0.45,0.9627,0.967,0.875,0.921,0.9648,0.9458,1934,75,525,66
0.5,0.9639,0.9625,0.88,0.9212,0.9632,0.9435,1925,72,528,75
