threshold,precision,link_recall,nolink_recall,balanced_recall,f1,accuracy,tp,fp,tn,fn
0.01,0.7894,0.999,0.1117,0.5553,0.8819,0.7942,1998,533,67,2
0.02,0.8361,0.997,0.3483,0.6727,0.9095,0.8473,1994,391,209,6
0.03,0.8409,0.996,0.3717,0.6838,0.9119,0.8519,1992,377,223,8
0.04,0.8482,0.9945,0.4067,0.7006,0.9155,0.8588,1989,356,244,11
0.05,0.8543,0.994,0.435,0.7145,0.9189,0.865,1988,339,261,12
0.06,0.8623,0.9925,0.4717,0.7321,0.9228,0.8723,1985,317,283,15
0.07,0.8735,0.9905,0.5217,0.7561,0.9283,0.8823,1981,287,313,19
0.08,0.8863,0.99,0.5767,0.7833,0.9353,0.8946,1980,254,346,20
0.09,0.8978,0.9885,0.625,0.8068,0.941,0.9046,1977,225,375,23
0.1,0.9043,0.987,0.6517,0.8193,0.9438,0.9096,1974,209,391,26
0.15,0.9082,0.984,0.6683,0.8262,0.9446,0.9112,1968,199,401,32
0.2,0.9159,0.98,0.7,0.84,0.9469,0.9154,1960,180,420,40
0.25,0.9234,0.976,0.73,0.853,0.949,0.9192,1952,162,438,48
0.3,0.9337,0.9715,0.77,0.8708,0.9522,0.925,1943,138,462,57
0.35,0.9471,0.9665,0.82,0.8932,0.9567,0.9327,1933,108,492,67
0.4,0.9621,0.9645,0.8733,0.9189,0.9633,0.9435,1929,76,524,71
0.45,0.9683,0.961,0.895,0.928,0.9646,0.9458,1922,63,537,78
0.5,0.9711,0.9565,0.905,0.9308,0.9637,0.9446,1913,57,543,87
