threshold,precision,link_recall,nolink_recall,balanced_recall,f1,accuracy,tp,fp,tn,fn
0.01,0.7888,0.999,0.1083,0.5537,0.8815,0.7935,1998,535,65,2
0.02,0.835,0.997,0.3433,0.6702,0.9088,0.8462,1994,394,206,6
0.03,0.8409,0.996,0.3717,0.6838,0.9119,0.8519,1992,377,223,8
0.04,0.8487,0.9955,0.4083,0.7019,0.9162,0.86,1991,355,245,9
0.05,0.8547,0.994,0.4367,0.7153,0.9191,0.8654,1988,338,262,12
0.06,0.8649,0.9925,0.4833,0.7379,0.9243,0.875,1985,310,290,15
0.07,0.8789,0.9905,0.545,0.7678,0.9314,0.8877,1981,273,327,19
0.08,0.8886,0.9895,0.5867,0.7881,0.9364,0.8965,1979,248,352,21
0.09,0.8971,0.989,0.6217,0.8053,0.9408,0.9042,1978,227,373,22
0.1,0.9031,0.9875,0.6467,0.8171,0.9434,0.9088,1975,212,388,25
0.15,0.909,0.9845,0.6717,0.8281,0.9453,0.9123,1969,197,403,31
0.2,0.9171,0.9795,0.705,0.8422,0.9473,0.9162,1959,177,423,41
0.25,0.9246,0.975,0.735,0.855,0.9491,0.9196,1950,159,441,50
0.3,0.9403,0.9685,0.795,0.8818,0.9542,0.9285,1937,123,477,63
0.35,0.9485,0.966,0.825,0.8955,0.9571,0.9335,1932,105,495,68
0.4,0.9654,0.963,0.885,0.924,0.9642,0.945,1926,69,531,74
0.45,0.9682,0.96,0.895,0.9275,0.9641,0.945,1920,63,537,80
0.5,0.9726,0.957,0.91,0.9335,0.9647,0.9462,1914,54,546,86
