threshold,precision,link_recall,nolink_recall,balanced_recall,f1,accuracy,tp,fp,tn,fn
0.01,0.7891,0.999,0.11,0.5545,0.8817,0.7938,1998,534,66,2
0.02,0.836,0.9965,0.3483,0.6724,0.9092,0.8469,1993,391,209,7
0.03,0.8422,0.9955,0.3783,0.6869,0.9125,0.8531,1991,373,227,9
0.04,0.8478,0.9945,0.405,0.6998,0.9153,0.8585,1989,357,243,11
0.05,0.8554,0.994,0.44,0.717,0.9195,0.8662,1988,336,264,12
0.06,0.8634,0.992,0.4767,0.7343,0.9232,0.8731,1984,314,286,16
0.07,0.8801,0.9905,0.55,0.7703,0.932,0.8888,1981,270,330,19
0.08,0.8902,0.989,0.5933,0.7912,0.937,0.8977,1978,244,356,22
0.09,0.899,0.9885,0.63,0.8092,0.9417,0.9058,1977,222,378,23
0.1,0.9031,0.988,0.6467,0.8173,0.9436,0.9092,1976,212,388,24
0.15,0.9087,0.9855,0.67,0.8278,0.9456,0.9127,1971,198,402,29
0.2,0.9158,0.9795,0.7,0.8398,0.9466,0.915,1959,180,420,41
0.25,0.9237,0.9745,0.7317,0.8531,0.9484,0.9185,1949,161,439,51
0.3,0.9403,0.969,0.795,0.882,0.9544,0.9288,1938,123,477,62
0.35,0.948,0.9665,0.8233,0.8949,0.9572,0.9335,1933,106,494,67
0.4,0.9645,0.9635,0.8817,0.9226,0.964,0.9446,1927,71,529,73
0.45,0.9678,0.961,0.8933,0.9272,0.9644,0.9454,1922,64,536,78
0.5,0.9692,0.9595,0.8983,0.9289,0.9643,0.9454,1919,61,539,81
