threshold,precision,link_recall,nolink_recall,balanced_recall,f1,accuracy,tp,fp,tn,fn
0.01,0.7692,1.0,0.0,0.5,0.8696,0.7692,2000,600,0,0
0.02,0.7692,1.0,0.0,0.5,0.8696,0.7692,2000,600,0,0
0.03,0.7692,1.0,0.0,0.5,0.8696,0.7692,2000,600,0,0
0.04,0.7692,1.0,0.0,0.5,0.8696,0.7692,2000,600,0,0
0.05,0.7691,0.9995,0.0,0.4998,0.8693,0.7688,1999,600,0,1
0.06,0.7766,0.9995,0.0417,0.5206,0.8741,0.7785,1999,575,25,1
0.07,0.7974,0.9995,0.1533,0.5764,0.8871,0.8042,1999,508,92,1
0.08,0.8136,0.9995,0.2367,0.6181,0.897,0.8235,1999,458,142,1
0.09,0.8249,0.999,0.2933,0.6462,0.9037,0.8362,1998,424,176,2
0.1,0.8333,0.9975,0.335,0.6662,0.9081,0.8446,1995,399,201,5
0.15,0.8461,0.995,0.3967,0.6958,0.9145,0.8569,1990,362,238,10
0.2,0.8805,0.991,0.5517,0.7713,0.9325,0.8896,1982,269,331,18
0.25,0.9021,0.9865,0.6433,0.8149,0.9424,0.9073,1973,214,386,27
0.3,0.9087,0.985,0.67,0.8275,0.9453,0.9123,1970,198,402,30
0.35,0.9165,0.982,0.7017,0.8418,0.9481,0.9173,1964,179,421,36
0.4,0.9307,0.973,0.7583,0.8657,0.9514,0.9235,1946,145,455,54
0.45,0.9425,0.9665,0.8033,0.8849,0.9543,0.9288,1933,118,482,67
0.5,0.9572,0.9625,0.8567,0.9096,0.9599,0.9381,1925,86,514,75
