threshold,precision,link_recall,nolink_recall,balanced_recall,f1,accuracy,tp,fp,tn,fn
0.01,0.7891,0.999,0.11,0.5545,0.8817,0.7938,1998,534,66,2
0.02,0.8361,0.997,0.3483,0.6727,0.9095,0.8473,1994,391,209,6
0.03,0.8402,0.996,0.3683,0.6822,0.9115,0.8512,1992,379,221,8
0.04,0.848,0.9955,0.405,0.7002,0.9158,0.8592,1991,357,243,9
0.05,0.8536,0.994,0.4317,0.7128,0.9185,0.8642,1988,341,259,12
0.06,0.863,0.992,0.475,0.7335,0.923,0.8727,1984,315,285,16
0.07,0.8757,0.99,0.5317,0.7608,0.9294,0.8842,1980,281,319,20
0.08,0.8866,0.9895,0.5783,0.7839,0.9353,0.8946,1979,253,347,21
0.09,0.8966,0.989,0.62,0.8045,0.9406,0.9038,1978,228,372,22
0.1,0.9027,0.9875,0.645,0.8162,0.9432,0.9085,1975,213,387,25
0.15,0.9073,0.984,0.665,0.8245,0.9441,0.9104,1968,201,399,32
0.2,0.9156,0.9815,0.6983,0.8399,0.9474,0.9162,1963,181,419,37
0.25,0.9237,0.975,0.7317,0.8533,0.9487,0.9188,1950,161,439,50
0.3,0.9363,0.97,0.78,0.875,0.9528,0.9262,1940,132,468,60
0.35,0.9471,0.9665,0.82,0.8932,0.9567,0.9327,1933,108,492,67
0.4,0.963,0.964,0.8767,0.9203,0.9635,0.9438,1928,74,526,72
0.45,0.9678,0.961,0.8933,0.9272,0.9644,0.9454,1922,64,536,78
0.5,0.9711,0.958,0.905,0.9315,0.9645,0.9458,1916,57,543,84
